sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-000102,uberon_tissue,adrenal_gland,0.03,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,biliary_tract,0.015,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,bladder,0.055,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,bone_marrow,0.015,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,brain,0.255,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,breast,0.065,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,colon,0.01,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,esophagus,0.0,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,head_and_neck,0.02,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,kidney,0.035,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,liver,0.02,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,lung,0.17,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,lymphoid,0.025,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,ovary,0.1,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,pancreas,0.02,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,skin,0.055,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,soft_tissue,0.05,brain,brain,test,RandomForest
ACH-000102,uberon_tissue,uterus,0.06,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,adrenal_gland,0.005,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,biliary_tract,0.04,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,bladder,0.045,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,bone_marrow,0.015,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,brain,0.21083333333333332,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,breast,0.065,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,colon,0.025,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,esophagus,0.01,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,head_and_neck,0.03,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,kidney,0.04583333333333333,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,liver,0.025,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,lung,0.08,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,lymphoid,0.025,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,ovary,0.11583333333333334,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,pancreas,0.02,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,skin,0.11083333333333334,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,soft_tissue,0.07583333333333334,brain,brain,test,RandomForest
ACH-000464,uberon_tissue,uterus,0.05583333333333333,brain,brain,test,RandomForest
ACH-001696,uberon_tissue,adrenal_gland,0.0,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,biliary_tract,0.11,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,bladder,0.05,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,bone_marrow,0.045,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,brain,0.03,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,breast,0.11,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,colon,0.065,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,esophagus,0.06,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,head_and_neck,0.14,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,kidney,0.0,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,liver,0.005,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,lung,0.05,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,lymphoid,0.065,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,ovary,0.12,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,pancreas,0.09,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,skin,0.025,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,soft_tissue,0.005,head_and_neck,head_and_neck,test,RandomForest
ACH-001696,uberon_tissue,uterus,0.03,head_and_neck,head_and_neck,test,RandomForest
ACH-000976,uberon_tissue,adrenal_gland,0.01,biliary_tract,biliary_tract,test,RandomForest
ACH-000976,uberon_tissue,biliary_tract,0.18,biliary_tract,biliary_tract,test,RandomForest
ACH-000976,uberon_tissue,bladder,0.02,biliary_tract,biliary_tract,test,RandomForest
ACH-000976,uberon_tissue,bone_marrow,0.045,biliary_tract,biliary_tract,test,RandomForest
ACH-000976,uberon_tissue,brain,0.025,biliary_tract,biliary_tract,test,RandomForest
ACH-000976,uberon_tissue,breast,0.065,biliary_tract,biliary_tract,test,RandomForest
ACH-000976,uberon_tissue,colon,0.11,biliary_tract,biliary_tract,test,RandomForest
ACH-000976,uberon_tissue,esophagus,0.035,biliary_tract,biliary_tract,test,RandomForest
