sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-000677,uberon_tissue,adrenal_gland,0.01,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,biliary_tract,0.02,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,bladder,0.01,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,bone_marrow,0.03,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,brain,0.09,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,breast,0.12,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,colon,0.09,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,esophagus,0.05,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,head_and_neck,0.03,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,kidney,0.01,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,liver,0.01,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,lung,0.24,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,lymphoid,0.03,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,ovary,0.07,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,pancreas,0.03,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,skin,0.03,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,soft_tissue,0.05,lung,lung,test,RandomForest
ACH-000677,uberon_tissue,uterus,0.08,lung,lung,test,RandomForest
ACH-000740,uberon_tissue,adrenal_gland,0.0,head_and_neck,head_and_neck,test,RandomForest
ACH-000740,uberon_tissue,biliary_tract,0.04,head_and_neck,head_and_neck,test,RandomForest
ACH-000740,uberon_tissue,bladder,0.025,head_and_neck,head_and_neck,test,RandomForest
ACH-000740,uberon_tissue,bone_marrow,0.02,head_and_neck,head_and_neck,test,RandomForest
ACH-000740,uberon_tissue,brain,0.08,head_and_neck,head_and_neck,test,RandomForest
ACH-000740,uberon_tissue,breast,0.09,head_and_neck,head_and_neck,test,RandomForest
ACH-000740,uberon_tissue,colon,0.05,head_and_neck,head_and_neck,test,RandomForest
