sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-001418,uberon_tissue,adrenal_gland,0.00054367614,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,biliary_tract,0.001543938,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,bladder,0.0012509942,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,bone_marrow,0.00061215094,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,brain,0.0009860154,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,breast,0.0021519095,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,colon,0.0031161038,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,esophagus,0.00053520687,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,head_and_neck,0.0011473425,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,kidney,5.8495716e-05,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,liver,5.0504907e-05,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,lung,0.00020689738,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,lymphoid,0.003961921,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,ovary,0.9782933,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,pancreas,0.0021360463,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,skin,0.0016197499,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,soft_tissue,0.0010716042,ovary,ovary,train,supervised_vae
ACH-001418,uberon_tissue,uterus,0.0007141777,ovary,ovary,train,supervised_vae
ACH-000784,uberon_tissue,adrenal_gland,0.0013785122,esophagus,esophagus,train,supervised_vae
ACH-000784,uberon_tissue,biliary_tract,0.011918703,esophagus,esophagus,train,supervised_vae
ACH-000784,uberon_tissue,bladder,0.0046844813,esophagus,esophagus,train,supervised_vae
ACH-000784,uberon_tissue,bone_marrow,0.0019357941,esophagus,esophagus,train,supervised_vae
ACH-000784,uberon_tissue,brain,0.0060748523,esophagus,esophagus,train,supervised_vae
