sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-001857,uberon_tissue,adrenal_gland,0.00020371801,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,biliary_tract,0.98012507,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,bladder,0.0005165701,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,bone_marrow,0.0040637567,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,brain,0.0015089877,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,breast,0.0041149403,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,colon,0.001112965,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,esophagus,0.0010811966,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,head_and_neck,0.0003476578,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,kidney,0.0004260121,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,liver,7.115799e-05,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,lung,0.0016569354,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,lymphoid,0.00055163034,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,ovary,0.00013855209,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,pancreas,0.001213065,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,skin,0.0012851753,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,soft_tissue,0.00032460268,biliary_tract,biliary_tract,train,supervised_vae
ACH-001857,uberon_tissue,uterus,0.0012581196,biliary_tract,biliary_tract,train,supervised_vae
ACH-000532,uberon_tissue,adrenal_gland,0.00088598806,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,biliary_tract,0.0040213065,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,bladder,0.0060301535,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,bone_marrow,0.009450531,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,brain,0.0007131427,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,breast,0.002909002,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,colon,0.93255913,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,esophagus,0.00051215646,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,head_and_neck,0.0024077715,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,kidney,0.0012956508,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,liver,0.006096361,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,lung,0.0020069922,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,lymphoid,0.0036473384,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,ovary,0.008294284,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,pancreas,0.0069550425,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,skin,0.003196259,colon,colon,train,supervised_vae
ACH-000532,uberon_tissue,soft_tissue,0.0034251781,colon,colon,train,supervised_vae
