sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-001099,uberon_tissue,adrenal_gland,0.04259850779632032,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,biliary_tract,0.02153994107457855,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,bladder,0.04429215313608603,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,bone_marrow,0.07141348732673991,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,brain,0.13696547357107997,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,breast,0.03444417101169944,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,colon,0.04090444334361298,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,esophagus,0.023798479922909982,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,head_and_neck,0.03512775019900969,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,kidney,0.12268691708614597,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,liver,0.04627585321771429,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,lung,0.07691286267181167,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,lymphoid,0.025919417941532755,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,ovary,0.03238988223866203,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,pancreas,0.013814804320669685,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,skin,0.024742479128572473,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,soft_tissue,0.13761995652496592,brain,soft_tissue,test,RandomForest
ACH-001099,uberon_tissue,uterus,0.06855341948788825,brain,soft_tissue,test,RandomForest
ACH-001450,uberon_tissue,adrenal_gland,0.045064174892445005,lymphoid,lymphoid,test,RandomForest
ACH-001450,uberon_tissue,biliary_tract,0.03199757647630701,lymphoid,lymphoid,test,RandomForest
ACH-001450,uberon_tissue,bladder,0.020843256696411044,lymphoid,lymphoid,test,RandomForest
ACH-001450,uberon_tissue,bone_marrow,0.18737816821999587,lymphoid,lymphoid,test,RandomForest
ACH-001450,uberon_tissue,brain,0.02577230800532085,lymphoid,lymphoid,test,RandomForest
ACH-001450,uberon_tissue,breast,0.047812741943243184,lymphoid,lymphoid,test,RandomForest
ACH-001450,uberon_tissue,colon,0.03026312937782959,lymphoid,lymphoid,test,RandomForest
ACH-001450,uberon_tissue,esophagus,0.009082171482264244,lymphoid,lymphoid,test,RandomForest
