sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-000704,uberon_tissue,adrenal_gland,4.1468547e-06,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,biliary_tract,2.6501564e-05,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,bladder,0.0006291547,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,bone_marrow,0.0002724088,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,brain,0.00052081293,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,breast,7.264566e-06,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,colon,5.8638684e-06,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,esophagus,1.0693222e-05,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,head_and_neck,0.0009165114,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,kidney,0.00018762419,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,liver,0.0002226782,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,lung,1.1236386e-05,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,lymphoid,6.3870266e-07,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,ovary,0.99352694,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,pancreas,0.0005864646,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,skin,2.5270406e-06,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,soft_tissue,6.392538e-06,ovary,ovary,train,DirectPred
ACH-000704,uberon_tissue,uterus,0.0030620575,ovary,ovary,train,DirectPred
ACH-001113,uberon_tissue,adrenal_gland,0.013056989,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,biliary_tract,0.011434201,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,bladder,0.022307873,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,bone_marrow,0.0047004577,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,brain,0.0075135953,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,breast,0.009843814,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,colon,0.017831009,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,esophagus,0.60058856,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,head_and_neck,0.20476067,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,kidney,0.013576104,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,liver,0.03376005,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,lung,0.015919192,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,lymphoid,0.0026272698,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,ovary,0.02105942,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,pancreas,0.006181414,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,skin,0.0022338694,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,soft_tissue,0.0019929628,lung,esophagus,train,DirectPred
ACH-001113,uberon_tissue,uterus,0.010612604,lung,esophagus,train,DirectPred
ACH-000136,uberon_tissue,adrenal_gland,0.9962838,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,biliary_tract,5.057691e-05,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,bladder,5.2897644e-07,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,bone_marrow,1.6082646e-06,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,brain,0.0010003123,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,breast,4.615883e-05,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,colon,0.00047031927,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,esophagus,0.00019935187,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,head_and_neck,0.00032584558,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,kidney,0.0007611318,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,liver,0.00023904664,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,lung,1.0074874e-06,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,lymphoid,0.000121680074,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,ovary,2.7372418e-05,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,pancreas,1.4384776e-06,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,skin,5.378367e-07,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,soft_tissue,0.00025861827,adrenal_gland,adrenal_gland,train,DirectPred
ACH-000136,uberon_tissue,uterus,0.00021057199,adrenal_gland,adrenal_gland,train,DirectPred
ACH-001495,uberon_tissue,adrenal_gland,2.8583521e-05,uterus,uterus,train,DirectPred
ACH-001495,uberon_tissue,biliary_tract,6.1407836e-06,uterus,uterus,train,DirectPred
ACH-001495,uberon_tissue,bladder,6.249458e-05,uterus,uterus,train,DirectPred
