sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-000143,uberon_tissue,adrenal_gland,0.07,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,biliary_tract,0.07666666666666666,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,bladder,0.03,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,bone_marrow,0.05,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,brain,0.06,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,breast,0.07,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,colon,0.04666666666666667,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,esophagus,0.06666666666666667,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,head_and_neck,0.056666666666666664,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,kidney,0.02,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,liver,0.043333333333333335,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,lung,0.06,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,lymphoid,0.04666666666666667,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,ovary,0.08666666666666667,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,pancreas,0.02666666666666667,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,skin,0.02666666666666667,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,soft_tissue,0.07,lung,uterus,test,RandomForest
ACH-000143,uberon_tissue,uterus,0.09333333333333334,lung,uterus,test,RandomForest
ACH-001274,uberon_tissue,adrenal_gland,0.02,soft_tissue,brain,test,RandomForest
ACH-001274,uberon_tissue,biliary_tract,0.04666666666666667,soft_tissue,brain,test,RandomForest
ACH-001274,uberon_tissue,bladder,0.05,soft_tissue,brain,test,RandomForest
ACH-001274,uberon_tissue,bone_marrow,0.023333333333333334,soft_tissue,brain,test,RandomForest
ACH-001274,uberon_tissue,brain,0.17333333333333334,soft_tissue,brain,test,RandomForest
ACH-001274,uberon_tissue,breast,0.05,soft_tissue,brain,test,RandomForest
ACH-001274,uberon_tissue,colon,0.023333333333333334,soft_tissue,brain,test,RandomForest
ACH-001274,uberon_tissue,esophagus,0.01,soft_tissue,brain,test,RandomForest
ACH-001274,uberon_tissue,head_and_neck,0.02666666666666667,soft_tissue,brain,test,RandomForest
