sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-001485,uberon_tissue,adrenal_gland,0.0019168563,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,biliary_tract,0.020606328,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,bladder,0.009456631,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,bone_marrow,0.738363,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,brain,0.0783889,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,breast,0.03836622,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,colon,0.004096864,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,esophagus,0.002438116,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,head_and_neck,0.005814239,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,kidney,0.043178715,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,liver,0.0032344915,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,lung,0.013232647,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,lymphoid,0.007936425,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,ovary,0.0016093935,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,pancreas,0.0012893787,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,skin,0.009322133,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,soft_tissue,0.0058257557,bone_marrow,bone_marrow,train,supervised_vae
ACH-001485,uberon_tissue,uterus,0.014923897,bone_marrow,bone_marrow,train,supervised_vae
ACH-001393,uberon_tissue,adrenal_gland,0.024866281,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,biliary_tract,0.06996168,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,bladder,0.0098471735,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,bone_marrow,0.022475602,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,brain,0.03866352,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,breast,0.5275859,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,colon,0.059156608,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,esophagus,0.012522468,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,head_and_neck,0.010991635,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,kidney,0.021057548,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,liver,0.0076552527,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,lung,0.008524274,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,lymphoid,0.00655411,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,ovary,0.020094076,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,pancreas,0.031199923,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,skin,0.05240649,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,soft_tissue,0.019989619,breast,breast,train,supervised_vae
ACH-001393,uberon_tissue,uterus,0.05644782,breast,breast,train,supervised_vae
ACH-000433,uberon_tissue,adrenal_gland,0.00055044494,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,biliary_tract,0.008948618,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,bladder,0.0007482967,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,bone_marrow,0.0051221135,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,brain,0.009846503,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,breast,0.0009979444,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,colon,0.001978819,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,esophagus,0.0008583744,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,head_and_neck,0.0016147878,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,kidney,0.945276,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,liver,0.0006557224,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,lung,0.00077613624,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,lymphoid,0.0069872583,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,ovary,0.00028278164,kidney,kidney,train,supervised_vae
ACH-000433,uberon_tissue,pancreas,0.0041348874,kidney,kidney,train,supervised_vae
