Model,Samples,Run,balanced_acc,f1_score,kappa,average_auroc,average_aupr
supervised_vae,50,0,0.256463620832678,0.325351620771867,0.32653985424877374,0.7772936149767268,0.37564297087840043
RandomForest,50,0,0.2718962932383059,0.35302921395167947,0.33168788844715136,0.8281666570207891,0.45294754737389387
supervised_vae,50,1,0.3037475041308454,0.25848989601197314,0.25656951743908263,0.7554787579647309,0.32784970017410936
RandomForest,50,1,0.35735630046956557,0.30861173585355683,0.3237957764561372,0.8267113694223973,0.46132322847278606
supervised_vae,75,0,0.4771835942584851,0.5250014536779306,0.5124651847859591,0.8961545425572164,0.5872807307601713
supervised_vae,75,1,0.4272556839375411,0.4514024091043219,0.44175032454079666,0.8553900860372172,0.5137374672960482
RandomForest,75,0,0.332028905825978,0.4259962320242102,0.422932170450775,0.8627150115988446,0.549911648893236
RandomForest,75,1,0.33742002573041346,0.41179007465676554,0.4087105445507919,0.910027522511158,0.5867707401850701
supervised_vae,100,0,0.4501461469533582,0.5094120268653429,0.48371615472569873,0.8958443275780433,0.5996590259714002
RandomForest,100,0,0.4047381217940377,0.5023061372276757,0.49575093799861314,0.9075198587866342,0.6407988991858321
supervised_vae,100,1,0.5201998179034535,0.5725604197496305,0.5611379131806502,0.922563615395314,0.6606292953973208
RandomForest,100,1,0.3520412223472911,0.4129941825283165,0.4248185433396403,0.8943349620056616,0.5713252956561695
supervised_vae,125,0,0.598698639561677,0.6544062457161293,0.6345566895054391,0.9353315412768876,0.7102090117210104
RandomForest,125,0,0.34241360765634365,0.4695123394645341,0.46311213399820994,0.9095040507707597,0.6250093619484629
supervised_vae,125,1,0.4910741410998509,0.5621498437438939,0.5413854838137068,0.9156588179644776,0.6348060360573855
RandomForest,125,1,0.4144457337266022,0.5098046247222108,0.5098024041146463,0.9309867660904161,0.6699239130969993
supervised_vae,150,0,0.5805448547621642,0.6552773758609962,0.6329010610320123,0.92589969196646,0.7141753657040047
RandomForest,150,0,0.39053647136546615,0.5053482866388904,0.4994828869088507,0.9377570875008638,0.7078505753008572
