sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-000390,uberon_tissue,adipose,1.3383166e-12,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,adrenal_gland,1.2233695e-08,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,biliary_tract,2.399323e-13,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,bladder,0.00010550945,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,blood,5.3464605e-10,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,blood_vessel,3.528003e-10,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,bone_marrow,3.8300124e-10,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,brain,1.9374117e-07,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,breast,2.2727727e-06,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,cervix,7.1849223e-07,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,colon,5.5708585e-07,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,esophagus,1.8652344e-08,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,eye,1.1227206e-24,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,fibroblast,1.564832e-09,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,head_and_neck,2.1243826e-08,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,heart,2.7176353e-15,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,kidney,8.857687e-09,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,liver,6.381812e-06,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,lung,0.9996973,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,lymphoid,4.218786e-07,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,muscle,4.2850233e-12,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,nerve,2.4217155e-19,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,other,3.6559096e-27,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,ovary,7.94936e-05,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,pancreas,3.0679826e-07,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,pituitary,1.096662e-25,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,placenta,6.694147e-20,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,pleura,1.3874456e-10,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,prostate,4.4854987e-05,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,salivary_gland,1.5056192e-09,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,skin,7.2236955e-10,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,small_intestine,6.032239e-14,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,soft_tissue,3.8817624e-19,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,spinal_cord,3.919589e-18,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,spleen,2.9473477e-09,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,stem_cell,3.1553501e-12,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,stomach,6.196154e-05,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,testis,1.2603363e-16,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,thymus,1.1688044e-08,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,thyroid,8.616515e-09,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,uterus,3.3235461e-13,lung,lung,test,supervised_vae
ACH-000390,uberon_tissue,vagina,1.2791233e-10,lung,lung,test,supervised_vae
ACH-000382,uberon_tissue,adipose,4.942276e-08,lung,prostate,test,supervised_vae
ACH-000382,uberon_tissue,adrenal_gland,7.09047e-10,lung,prostate,test,supervised_vae
ACH-000382,uberon_tissue,biliary_tract,7.685614e-18,lung,prostate,test,supervised_vae
ACH-000382,uberon_tissue,bladder,1.906938e-05,lung,prostate,test,supervised_vae
ACH-000382,uberon_tissue,blood,6.210912e-07,lung,prostate,test,supervised_vae
ACH-000382,uberon_tissue,blood_vessel,3.2814262e-10,lung,prostate,test,supervised_vae
ACH-000382,uberon_tissue,bone_marrow,1.0522022e-06,lung,prostate,test,supervised_vae
ACH-000382,uberon_tissue,brain,0.010894057,lung,prostate,test,supervised_vae
ACH-000382,uberon_tissue,breast,0.3408171,lung,prostate,test,supervised_vae
ACH-000382,uberon_tissue,cervix,1.3874566e-05,lung,prostate,test,supervised_vae
ACH-000382,uberon_tissue,colon,4.1634834e-07,lung,prostate,test,supervised_vae
ACH-000382,uberon_tissue,esophagus,3.649142e-11,lung,prostate,test,supervised_vae
ACH-000382,uberon_tissue,eye,2.7318056e-14,lung,prostate,test,supervised_vae
