sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-002045,uberon_tissue,adipose,3.8366437e-07,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,adrenal_gland,1.2015048e-09,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,biliary_tract,5.2150847e-18,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,bladder,0.008388545,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,blood,3.213021e-07,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,blood_vessel,1.4313095e-08,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,bone_marrow,1.65361e-08,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,brain,0.0002559389,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,breast,0.024697183,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,cervix,0.0001195661,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,colon,0.00022790786,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,esophagus,4.5290471e-07,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,eye,1.7892283e-18,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,fibroblast,1.434077e-07,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,head_and_neck,2.1677998e-08,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,heart,1.6047058e-13,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,kidney,5.260051e-06,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,liver,2.9876892e-06,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,lung,0.69593143,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,lymphoid,5.7903804e-07,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,muscle,3.785732e-10,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,nerve,1.3289694e-11,head_and_neck,lung,test,supervised_vae
ACH-002045,uberon_tissue,other,1.8126139e-25,head_and_neck,lung,test,supervised_vae
