sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-001716,uberon_tissue,adipose,3.0729842e-07,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,adrenal_gland,0.19786513,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,biliary_tract,4.724512e-10,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,bladder,0.00039477646,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,blood,0.00016424964,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,blood_vessel,2.8721379e-05,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,bone_marrow,0.00012158376,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,brain,0.63756,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,breast,0.0016661448,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,cervix,0.034834266,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,colon,5.722606e-06,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,esophagus,4.3370214e-09,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,eye,1.0520205e-07,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,fibroblast,1.0472668e-05,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,head_and_neck,8.266417e-06,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,heart,9.996882e-08,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,kidney,0.026067732,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,liver,4.4002665e-08,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,lung,3.9757175e-05,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,lymphoid,0.00028300012,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,muscle,0.00038306785,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,nerve,0.0018363406,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,other,5.3607363e-10,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,ovary,0.0012450961,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,pancreas,1.2754932e-05,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,pituitary,7.553564e-05,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,placenta,1.4587177e-05,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,pleura,1.1826797e-07,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,prostate,0.0007427742,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,salivary_gland,1.7971313e-08,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,skin,0.012462819,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,small_intestine,6.3383593e-10,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,soft_tissue,0.0068571614,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,spinal_cord,0.00057094474,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,spleen,4.9513767e-07,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,stem_cell,3.3338933e-05,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,stomach,5.2476263e-09,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,testis,0.0034414763,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,thymus,8.145087e-07,adrenal_gland,brain,finetune,supervised_vae
ACH-001716,uberon_tissue,thyroid,9.615343e-05,adrenal_gland,brain,finetune,supervised_vae
