sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-000816,uberon_tissue,adipose,3.6208573e-12,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,adrenal_gland,2.1184816e-13,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,biliary_tract,5.0757468e-27,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,bladder,4.856389e-13,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,blood,1.4016955e-05,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,blood_vessel,1.938219e-09,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,bone_marrow,4.857768e-06,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,brain,0.9999223,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,breast,1.05844975e-07,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,cervix,1.8688087e-07,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,colon,3.227503e-09,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,esophagus,1.10463965e-17,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,eye,6.0570005e-15,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,fibroblast,4.5527266e-08,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,head_and_neck,5.6922963e-18,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,heart,3.053335e-11,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,kidney,1.7365952e-07,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,liver,2.0547436e-10,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,lung,4.381341e-05,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,lymphoid,2.27272e-10,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,muscle,8.99527e-09,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,nerve,8.480452e-09,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,other,1.4254474e-25,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,ovary,1.7054832e-11,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,pancreas,2.9212234e-12,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,pituitary,1.1599784e-12,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,placenta,1.1822755e-15,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,pleura,6.0983366e-23,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,prostate,3.7828584e-06,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,salivary_gland,1.5938785e-14,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,skin,4.6927886e-07,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,small_intestine,1.2406153e-18,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,soft_tissue,4.139223e-22,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,spinal_cord,3.503727e-10,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,spleen,4.8326414e-13,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,stem_cell,1.0220538e-05,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,stomach,3.343523e-17,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,testis,1.789483e-15,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,thymus,1.9701022e-12,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,thyroid,4.932057e-13,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,uterus,1.7592384e-11,lung,brain,test,supervised_vae
ACH-000816,uberon_tissue,vagina,2.1764876e-15,lung,brain,test,supervised_vae
ACH-001563,uberon_tissue,adipose,3.3321862e-06,skin,breast,test,supervised_vae
ACH-001563,uberon_tissue,adrenal_gland,1.0901008e-10,skin,breast,test,supervised_vae
ACH-001563,uberon_tissue,biliary_tract,1.3055053e-19,skin,breast,test,supervised_vae
ACH-001563,uberon_tissue,bladder,7.2825195e-09,skin,breast,test,supervised_vae
ACH-001563,uberon_tissue,blood,0.0009413135,skin,breast,test,supervised_vae
ACH-001563,uberon_tissue,blood_vessel,1.757681e-06,skin,breast,test,supervised_vae
ACH-001563,uberon_tissue,bone_marrow,0.0053893127,skin,breast,test,supervised_vae
ACH-001563,uberon_tissue,brain,0.054336306,skin,breast,test,supervised_vae
ACH-001563,uberon_tissue,breast,0.753696,skin,breast,test,supervised_vae
