sample_id,variable,class_label,probability,known_label,predicted_label,split,method
ACH-001698,uberon_tissue,adipose,0.00033289354,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,adrenal_gland,7.945407e-14,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,biliary_tract,7.7895745e-10,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,bladder,0.014975265,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,blood,0.00044712407,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,blood_vessel,0.0004233621,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,bone_marrow,5.211891e-09,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,brain,3.077448e-05,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,breast,0.00017890737,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,cervix,0.0004579273,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,colon,0.01535672,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,esophagus,0.016530378,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,eye,6.477843e-10,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,fibroblast,1.1849461e-06,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,head_and_neck,0.6168592,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,heart,3.442137e-07,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,kidney,7.0941365e-05,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,liver,6.2199126e-07,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,lung,0.057769984,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,lymphoid,6.396763e-05,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,muscle,9.745953e-06,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,nerve,0.00038773753,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,other,6.61882e-30,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,ovary,1.03509926e-07,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,pancreas,6.877821e-05,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,pituitary,6.2198366e-18,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,placenta,7.238531e-08,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,pleura,1.5666533e-08,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,prostate,3.9420025e-05,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,salivary_gland,5.6597078e-06,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,skin,0.27518305,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,small_intestine,4.7008078e-05,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,soft_tissue,8.831301e-06,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,spinal_cord,3.971356e-05,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,spleen,6.563482e-07,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,stem_cell,4.9794313e-08,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,stomach,0.00012197457,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,testis,6.771322e-08,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,thymus,1.9657433e-08,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,thyroid,5.6244264e-08,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,uterus,3.295596e-05,head_and_neck,head_and_neck,test,supervised_vae
ACH-001698,uberon_tissue,vagina,0.0005544267,head_and_neck,head_and_neck,test,supervised_vae
ACH-000945,uberon_tissue,adipose,0.00056217046,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,adrenal_gland,1.3541486e-08,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,biliary_tract,6.847066e-08,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,bladder,0.0039049652,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,blood,0.015304636,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,blood_vessel,0.0021408813,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,bone_marrow,4.1240146e-06,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,brain,0.012934318,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,breast,0.0004025498,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,cervix,0.0013921072,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,colon,0.00021351264,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,esophagus,0.0034328515,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,eye,6.7733104e-09,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,fibroblast,6.4073765e-07,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,head_and_neck,0.11451493,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,heart,5.4477086e-06,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,kidney,0.0015086386,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,liver,1.3910601e-05,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,lung,0.82418895,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,lymphoid,0.00076851726,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,muscle,1.0018436e-05,lung,lung,test,supervised_vae
ACH-000945,uberon_tissue,nerve,0.001843068,lung,lung,test,supervised_vae
